,index,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Fajr_start,Fajr_end,Dhuhr_start,Dhuhr_end,Asr_start,Asr_end,Maghrib_start,Maghrib_end,Isha_start,Isha_end,SleepStart,SleepEnd,NapStart,NapEnd
54,2023-06-24,02:09 AM,04:23,12:45 PM,05:08 PM,09:05 PM,11:07 PM,03:42 AM,03:47 AM,12:45 PM,12:50 PM,05:08 PM,05:13 PM,09:05 PM,09:10 PM,11:07 PM,11:12 PM,10:09 PM,02:09 AM,01:15 PM,02:15 PM
55,2023-06-25,02:09 AM,04:24,12:45 PM,05:08 PM,09:05 PM,11:08 PM,03:42 AM,03:47 AM,12:45 PM,12:50 PM,05:08 PM,05:13 PM,09:05 PM,09:10 PM,11:08 PM,11:13 PM,10:09 PM,02:09 AM,01:15 PM,02:15 PM
56,2023-06-26,02:09 AM,04:24,12:45 PM,05:08 PM,09:05 PM,11:08 PM,03:42 AM,03:47 AM,12:45 PM,12:50 PM,05:08 PM,05:13 PM,09:05 PM,09:10 PM,11:08 PM,11:13 PM,10:09 PM,02:09 AM,01:15 PM,02:15 PM
57,2023-06-27,02:09 AM,04:24,12:45 PM,05:09 PM,09:05 PM,11:08 PM,03:42 AM,03:47 AM,12:45 PM,12:50 PM,05:09 PM,05:14 PM,09:05 PM,09:10 PM,11:08 PM,11:13 PM,10:09 PM,02:09 AM,01:15 PM,02:15 PM
58,2023-06-28,02:10 AM,04:25,12:46 PM,05:09 PM,09:05 PM,11:08 PM,03:42 AM,03:47 AM,12:46 PM,12:51 PM,05:09 PM,05:14 PM,09:05 PM,09:10 PM,11:08 PM,11:13 PM,10:10 PM,02:10 AM,01:16 PM,02:16 PM
59,2023-06-29,02:10 AM,04:25,12:46 PM,05:09 PM,09:05 PM,11:08 PM,03:42 AM,03:47 AM,12:46 PM,12:51 PM,05:09 PM,05:14 PM,09:05 PM,09:10 PM,11:08 PM,11:13 PM,10:10 PM,02:10 AM,01:16 PM,02:16 PM
60,2023-06-30,02:10 AM,04:26,12:46 PM,05:09 PM,09:05 PM,11:08 PM,03:42 AM,03:47 AM,11:46 AM,01:46 PM,05:09 PM,05:14 PM,09:05 PM,09:10 PM,11:08 PM,11:13 PM,10:10 PM,02:10 AM,01:16 PM,02:16 PM
61,2023-07-01,02:11 AM,04:27,12:46 PM,05:09 PM,09:05 PM,11:08 PM,03:42 AM,03:47 AM,12:46 PM,12:51 PM,05:09 PM,05:14 PM,09:05 PM,09:10 PM,11:08 PM,11:13 PM,10:11 PM,02:11 AM,01:16 PM,02:16 PM
62,2023-07-02,02:11 AM,04:27,12:47 PM,05:09 PM,09:04 PM,11:08 PM,03:42 AM,03:47 AM,12:47 PM,12:52 PM,05:09 PM,05:14 PM,09:04 PM,09:09 PM,11:08 PM,11:13 PM,10:11 PM,02:11 AM,01:17 PM,02:17 PM
63,2023-07-03,02:11 AM,04:28,12:47 PM,05:09 PM,09:04 PM,11:08 PM,03:42 AM,03:47 AM,12:47 PM,12:52 PM,05:09 PM,05:14 PM,09:04 PM,09:09 PM,11:08 PM,11:13 PM,10:11 PM,02:11 AM,01:17 PM,02:17 PM
